Currency Pair,Counterparty,Base Currency,Term Currency,Execution Venue,Product Type,Booking Location,Portfolio,Trade Source System,Custodian,Settlement Instructions,Netting Eligibility,KYC Status,Sanctions Screening,Settlement Currency,Cost Center,Expense Approval Status
EUR/USD,HSBC,EUR,USD,Bloomberg,Forward,New York,PORT3,Murex,BNY Mellon,Special,Yes,Pending,Pending Review,USD,FX_FIN_03,Rejected
USD/CHF,Citi,USD,CHF,EBS,Spot,Singapore,PORT3,Custom,BNY Mellon,Standard,No,Completed,Clear,CHF,FX_OPS_01,Under Review
USD/JPY,Citi,USD,JPY,360T,Forward,Singapore,PORT1,Murex,JP Morgan,Urgent,Yes,Pending,Clear,JPY,FX_FIN_03,Under Review
USD/JPY,JPMorgan,USD,JPY,Bloomberg,Spot,Singapore,PORT1,Murex,HSBC Custody,Standard,No,Pending,Flagged,JPY,FX_OPS_01,Under Review
USD/INR,HSBC,USD,INR,EBS,Swap,New York,PORT2,Murex,BNY Mellon,Special,Yes,Rejected,Flagged,INR,FX_FIN_03,Under Review
EUR/USD,Citi,EUR,USD,Reuters,Spot,London,PORT5,Murex,HSBC Custody,Special,No,Rejected,Clear,USD,FX_FIN_03,Under Review
USD/INR,HSBC,USD,INR,360T,Forward,New York,PORT5,Custom,BNY Mellon,Special,No,Completed,Flagged,INR,FX_TRD_02,Rejected
USD/CHF,Citi,USD,CHF,Reuters,Spot,Mumbai,PORT4,Custom,JP Morgan,Special,No,Completed,Clear,CHF,FX_OPS_01,Approved
GBP/USD,Deutsche,GBP,USD,360T,Swap,London,PORT4,Custom,State Street,Special,No,Completed,Clear,USD,FX_FIN_03,Under Review
USD/CHF,BNP Paribas,USD,CHF,Reuters,Swap,London,PORT1,Summit,State Street,Urgent,No,Completed,Pending Review,CHF,FX_TRD_02,Rejected
USD/INR,Deutsche,USD,INR,Bloomberg,Spot,Singapore,PORT4,Calypso,State Street,Special,No,Completed,Clear,INR,FX_FIN_03,Under Review
USD/INR,Citi,USD,INR,EBS,Forward,Mumbai,PORT4,Custom,JP Morgan,Standard,No,Completed,Clear,INR,FX_FIN_03,Rejected
AUD/USD,Citi,AUD,USD,Bloomberg,Spot,New York,PORT5,Custom,BNY Mellon,Special,Yes,Completed,Flagged,USD,FX_FIN_03,Approved
GBP/USD,Deutsche,GBP,USD,360T,Forward,London,PORT2,Murex,State Street,Special,Yes,Rejected,Clear,USD,FX_FIN_03,Rejected
AUD/USD,Citi,AUD,USD,Bloomberg,Spot,Singapore,PORT1,Custom,State Street,Urgent,No,Completed,Clear,USD,FX_OPS_01,Approved
USD/INR,JPMorgan,USD,INR,Bloomberg,Forward,Mumbai,PORT2,Murex,HSBC Custody,Urgent,No,Pending,Pending Review,INR,FX_FIN_03,Rejected
USD/CHF,BNP Paribas,USD,CHF,EBS,Spot,New York,PORT3,Custom,State Street,Urgent,No,Rejected,Clear,CHF,FX_TRD_02,Under Review
USD/INR,BNP Paribas,USD,INR,Reuters,Swap,London,PORT4,Murex,State Street,Special,No,Rejected,Clear,INR,FX_TRD_02,Rejected
USD/JPY,Citi,USD,JPY,Bloomberg,Swap,Mumbai,PORT3,Custom,State Street,Standard,Yes,Rejected,Pending Review,JPY,FX_OPS_01,Under Review
GBP/USD,JPMorgan,GBP,USD,Reuters,Swap,Singapore,PORT3,Custom,BNY Mellon,Urgent,No,Rejected,Flagged,USD,FX_OPS_01,Rejected
USD/CHF,Deutsche,USD,CHF,Bloomberg,Forward,Singapore,PORT3,Summit,HSBC Custody,Urgent,No,Completed,Clear,CHF,FX_FIN_03,Approved
GBP/USD,Deutsche,GBP,USD,EBS,Spot,London,PORT3,Calypso,State Street,Standard,No,Pending,Flagged,USD,FX_TRD_02,Approved
AUD/USD,JPMorgan,AUD,USD,EBS,Swap,Mumbai,PORT5,Calypso,JP Morgan,Special,Yes,Rejected,Pending Review,USD,FX_TRD_02,Approved
USD/JPY,JPMorgan,USD,JPY,Bloomberg,Spot,Mumbai,PORT5,Calypso,BNY Mellon,Urgent,No,Completed,Pending Review,JPY,FX_TRD_02,Rejected
GBP/USD,Citi,GBP,USD,EBS,Forward,Singapore,PORT4,Custom,State Street,Special,No,Rejected,Flagged,USD,FX_FIN_03,Rejected
AUD/USD,BNP Paribas,AUD,USD,360T,Forward,New York,PORT3,Summit,JP Morgan,Special,No,Completed,Pending Review,USD,FX_OPS_01,Under Review
EUR/USD,Deutsche,EUR,USD,EBS,Spot,London,PORT5,Summit,JP Morgan,Urgent,Yes,Completed,Pending Review,USD,FX_OPS_01,Under Review
EUR/USD,Citi,EUR,USD,EBS,Forward,London,PORT1,Summit,BNY Mellon,Special,No,Rejected,Clear,USD,FX_TRD_02,Rejected
USD/CHF,HSBC,USD,CHF,Reuters,Swap,London,PORT4,Summit,BNY Mellon,Urgent,No,Rejected,Flagged,CHF,FX_FIN_03,Under Review
AUD/USD,JPMorgan,AUD,USD,Bloomberg,Forward,Mumbai,PORT1,Summit,State Street,Standard,Yes,Pending,Flagged,USD,FX_OPS_01,Under Review
USD/INR,Citi,USD,INR,EBS,Forward,New York,PORT1,Murex,JP Morgan,Urgent,Yes,Pending,Clear,INR,FX_OPS_01,Approved
USD/CHF,Citi,USD,CHF,360T,Spot,London,PORT3,Calypso,HSBC Custody,Standard,Yes,Completed,Flagged,CHF,FX_TRD_02,Under Review
AUD/USD,Deutsche,AUD,USD,Reuters,Forward,Singapore,PORT5,Murex,JP Morgan,Special,No,Rejected,Clear,USD,FX_OPS_01,Under Review
USD/JPY,Deutsche,USD,JPY,EBS,Spot,Mumbai,PORT4,Calypso,HSBC Custody,Special,Yes,Pending,Clear,JPY,FX_TRD_02,Approved
USD/CHF,HSBC,USD,CHF,Bloomberg,Swap,London,PORT4,Summit,HSBC Custody,Special,Yes,Rejected,Pending Review,CHF,FX_FIN_03,Rejected
USD/JPY,JPMorgan,USD,JPY,EBS,Swap,New York,PORT3,Custom,JP Morgan,Standard,Yes,Completed,Clear,JPY,FX_TRD_02,Approved
AUD/USD,Citi,AUD,USD,360T,Swap,Singapore,PORT5,Murex,JP Morgan,Standard,No,Pending,Pending Review,USD,FX_FIN_03,Rejected
USD/CHF,Deutsche,USD,CHF,Reuters,Forward,New York,PORT2,Custom,BNY Mellon,Standard,Yes,Pending,Pending Review,CHF,FX_FIN_03,Approved
GBP/USD,BNP Paribas,GBP,USD,EBS,Swap,London,PORT2,Calypso,JP Morgan,Urgent,Yes,Pending,Flagged,USD,FX_TRD_02,Rejected
USD/INR,Citi,USD,INR,EBS,Swap,Singapore,PORT2,Calypso,State Street,Urgent,No,Pending,Clear,INR,FX_FIN_03,Rejected
GBP/USD,HSBC,GBP,USD,Reuters,Swap,Mumbai,PORT1,Calypso,State Street,Standard,Yes,Rejected,Clear,USD,FX_TRD_02,Rejected
USD/JPY,HSBC,USD,JPY,Bloomberg,Swap,London,PORT4,Murex,BNY Mellon,Urgent,Yes,Rejected,Pending Review,JPY,FX_TRD_02,Rejected
AUD/USD,Citi,AUD,USD,360T,Swap,New York,PORT1,Summit,JP Morgan,Special,No,Rejected,Flagged,USD,FX_FIN_03,Under Review
USD/CHF,JPMorgan,USD,CHF,360T,Spot,Mumbai,PORT3,Summit,State Street,Special,Yes,Completed,Clear,CHF,FX_TRD_02,Rejected
USD/CHF,JPMorgan,USD,CHF,Bloomberg,Forward,New York,PORT4,Murex,State Street,Special,No,Completed,Flagged,CHF,FX_TRD_02,Approved
